,City,Country,Lng,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
0,dunedin,NZ,170.5,-45.87,281.48,83,0,1.34
1,ronne,DK,14.71,55.1,289.15,72,47,7.7
2,cape town,ZA,18.42,-33.93,289.26,87,0,0.5
3,punta arenas,CL,-70.92,-53.15,279.82,87,100,4.1
4,hilo,US,-155.09,19.73,302.15,62,40,2.1
5,kapaa,US,-159.32,22.08,302.15,66,20,5.7
6,busselton,AU,115.33,-33.65,282.59,79,60,4.65
7,ushuaia,AR,-68.3,-54.8,281.15,65,40,6.2
8,albany,US,-73.97,42.6,298.71,53,0,5.52
9,bereda,ES,-7.54,43.27,289.82,86,7,3.58
10,bluff,NZ,168.33,-46.6,280.37,72,17,4.92
11,vaxjo,SE,14.81,56.88,284.26,93,79,3.1
12,guiberoua,CI,-6.17,6.24,295.59,98,4,1.9
13,hofn,IS,-15.21,64.25,284.15,53,20,7.2
14,new norfolk,AU,147.06,-42.78,287.59,62,75,2.6
15,georgetown,MY,100.34,5.41,299.15,88,20,1.0
16,saskylakh,RU,114.08,71.92,278.58,73,0,3.89
17,maceio,BR,-35.74,-9.67,298.15,65,0,4.1
18,talcahuano,CL,-73.12,-36.72,285.15,71,75,3.6
19,rikitea,PF,-134.97,-23.12,296.01,84,6,5.6
20,road town,VG,-64.62,18.42,303.71,79,20,3.1
21,airai,TL,125.41,-8.93,286.5,59,98,1.62
22,chuy,UY,-53.46,-33.7,286.58,73,93,3.99
23,varca,IN,73.92,15.22,299.85,87,100,2.81
24,grand gaube,MU,57.66,-20.01,295.37,86,52,2.24
25,beringovskiy,RU,179.32,63.05,280.4,69,79,5.03
26,huarmey,PE,-78.15,-10.07,293.11,62,5,4.95
27,saldanha,ZA,17.94,-33.01,286.15,71,0,1.5
28,gezing,AT,13.13,47.92,288.15,93,75,3.1
29,havre-saint-pierre,CA,-63.6,50.23,290.15,59,1,4.6
30,butaritari,KI,172.79,3.07,301.4,74,23,3.47
31,nanortalik,GL,-45.24,60.14,279.42,75,1,8.84
32,upernavik,GL,-56.15,72.79,276.32,81,100,3.79
33,omsukchan,RU,155.8,62.53,278.8,90,100,1.38
34,puerto ayora,EC,-90.35,-0.74,297.15,64,40,3.1
35,ponta do sol,PT,-17.1,32.67,295.37,71,100,2.24
36,taucha,DE,12.48,51.38,288.71,71,19,1.5
37,ilhabela,BR,-45.36,-23.78,296.15,79,97,1.86
38,chokurdakh,RU,147.92,70.63,273.34,97,99,2.77
39,katsuura,JP,140.3,35.13,300.93,91,7,1.79
40,port alfred,ZA,26.89,-33.59,289.63,88,3,3.65
41,tuktoyaktuk,CA,-133.04,69.45,281.15,87,90,5.7
42,mataura,NZ,168.86,-46.19,280.37,72,8,4.92
43,copalillo,MX,-99.12,18.03,304.26,47,8,1.34
44,atuona,PF,-139.03,-9.8,299.09,75,94,9.82
45,karratha,AU,116.85,-20.74,294.82,53,0,3.0
46,qaanaaq,GL,-69.36,77.48,268.94,80,53,3.26
47,carnarvon,AU,113.63,-24.87,290.15,100,40,4.6
48,kawalu,ID,108.21,-7.38,294.62,92,82,0.47
49,hobart,AU,147.33,-42.88,287.59,62,75,2.6
50,morant bay,JM,-76.41,17.88,304.15,70,20,6.7
51,limaong,PH,122.37,7.36,299.43,84,100,1.5
52,yellowknife,CA,-114.35,62.46,284.26,43,40,5.7
53,tautira,PF,-149.15,-17.73,301.15,69,40,2.1
54,havoysund,NO,24.66,71.0,283.15,87,75,5.1
55,san policarpo,PH,125.51,12.18,301.48,76,33,2.1
56,arraial do cabo,BR,-42.03,-22.97,299.15,83,0,4.6
57,kimbe,PG,150.14,-5.55,296.86,88,53,2.05
58,sao joao da barra,BR,-41.05,-21.64,299.15,69,0,7.2
59,chabua,IN,95.17,27.48,297.21,98,98,1.2
60,mar del plata,AR,-57.56,-38.0,285.15,71,0,6.2
61,tobe,JP,132.79,33.74,299.26,63,2,2.24
62,kavieng,PG,150.8,-2.57,301.19,75,35,5.7
63,bredasdorp,ZA,20.04,-34.53,288.15,87,0,3.1
64,fort nelson,CA,-122.7,58.81,286.15,66,75,2.6
65,jardim,BR,-56.14,-21.48,303.83,43,100,4.84
66,klaksvik,FO,-6.59,62.23,284.15,87,12,9.8
67,kavaratti,IN,72.64,10.57,301.0,82,100,6.94
68,astara,AZ,48.67,38.5,297.15,88,73,2.6
69,craig,US,-107.55,40.52,302.15,9,1,4.1
70,vila franca do campo,PT,-25.43,37.72,295.15,78,20,2.1
71,gigmoto,PH,124.39,13.78,300.87,80,100,2.62
72,avarua,CK,-159.78,-21.21,297.15,53,63,3.6
73,aklavik,CA,-135.01,68.22,281.15,81,90,3.6
74,ruidoso,US,-105.67,33.33,303.15,14,40,1.18
75,olafsvik,IS,-23.71,64.89,281.15,75,10,2.26
76,mitchell,US,-98.03,43.71,285.15,62,90,6.7
77,longyearbyen,SJ,15.64,78.22,276.15,87,40,2.1
78,madang,PG,145.8,-5.22,298.24,88,41,0.67
79,storm lake,US,-95.21,42.64,294.15,32,1,5.7
80,berlevag,NO,29.09,70.86,281.15,93,75,1.0
81,yeppoon,AU,150.73,-23.13,290.15,82,87,3.6
82,sur,OM,59.53,22.57,302.84,62,9,5.78
83,bethel,US,-73.41,41.37,298.15,60,1,3.6
84,nikolskoye,RU,30.79,59.7,286.48,81,40,2.0
85,castro,BR,-50.01,-24.79,297.69,50,55,3.33
86,ribeira grande,PT,-28.7,38.52,294.15,73,40,7.7
87,thompson,CA,-97.86,55.74,279.15,70,90,7.7
88,victoria,HK,114.16,22.29,302.04,89,100,2.68
89,srivardhan,IN,73.02,18.03,300.24,84,100,0.5
90,kota kinabalu,MY,116.07,5.97,298.15,100,20,1.5
91,skibbereen,IE,-9.27,51.55,290.15,88,75,4.1
92,barrow,US,-156.79,71.29,276.15,93,90,6.7
93,kitimat,CA,-128.65,54.05,294.82,57,0,0.45
94,hailey,US,-114.32,43.52,301.15,20,20,5.1
95,haines junction,CA,-137.51,60.75,284.48,67,92,2.15
96,vaini,TO,-175.2,-21.2,296.15,73,75,4.6
97,itupiranga,BR,-49.33,-5.13,309.15,28,40,2.1
98,qaqortoq,GL,-46.03,60.72,284.15,66,40,1.5
99,nyrob,RU,56.72,60.73,283.7,93,48,1.53
100,vega de alatorre,MX,-96.63,20.03,302.28,70,100,4.93
101,saint george,US,-113.58,37.1,310.93,11,1,1.5
102,broome,US,-75.83,42.25,298.15,50,1,6.7
103,lensk,RU,114.93,60.73,284.98,93,99,1.0
104,bengkulu,ID,102.27,-3.8,297.54,88,35,3.12
105,ahipara,NZ,173.17,-35.17,283.17,76,0,2.52
106,saint-philippe,RE,55.77,-21.36,295.15,94,90,10.3
107,havelock,US,-76.9,34.88,304.15,52,1,3.6
108,nova praha,UA,32.9,48.57,295.15,37,0,1.0
109,uzhur,RU,89.83,55.3,278.42,85,70,1.72
110,lengshuitan,CN,111.6,26.41,296.04,94,100,0.24
111,pokhara,NP,83.98,28.23,294.57,79,86,0.94
112,jiuquan,CN,98.52,39.74,295.54,24,87,4.84
113,mount isa,AU,139.5,-20.73,295.15,37,0,3.1
114,ayorou,NE,0.92,14.73,303.68,52,16,4.31
115,jamestown,US,-79.24,42.1,292.59,88,75,6.2
116,norman wells,CA,-126.83,65.28,286.15,47,90,5.7
117,kununurra,AU,128.73,-15.77,295.15,36,68,2.6
118,hermanus,ZA,19.23,-34.42,287.92,86,0,4.08
119,scottsbluff,US,-103.67,41.87,302.04,34,1,6.7
120,narsaq,GL,-46.05,60.92,284.15,66,40,1.5
121,san cristobal,VE,-72.22,7.77,305.15,55,40,4.1
122,verkhnyaya balkariya,RU,43.46,43.13,294.82,68,75,3.0
123,souillac,MU,57.52,-20.52,295.15,94,40,4.1
124,mamakan,RU,114.0,57.82,284.89,85,63,0.36
125,east london,ZA,27.91,-33.02,291.94,77,84,2.0
126,half moon bay,US,-122.43,37.46,310.93,72,1,5.1
127,banda aceh,ID,95.32,5.56,299.85,80,100,3.8
128,vanino,RU,140.25,49.09,288.4,91,100,0.5
129,kahului,US,-156.47,20.89,303.15,58,20,3.1
130,arman,RU,150.17,59.7,281.06,87,0,1.66
131,green river,US,-109.47,41.53,300.15,10,1,11.3
132,san patricio,MX,-104.7,19.22,305.15,75,75,5.1
133,antalaha,MG,50.28,-14.9,293.08,85,15,3.69
134,erzin,TR,36.2,36.96,301.48,86,0,1.04
135,port elizabeth,ZA,25.57,-33.92,288.15,100,20,1.5
136,severo-kurilsk,RU,156.12,50.68,285.05,90,20,4.99
137,culebra,PR,-65.3,18.3,304.15,66,1,5.7
138,fortuna,US,-124.16,40.6,297.15,57,20,5.1
139,kodinsk,RU,99.18,58.69,282.42,76,100,1.69
140,dikson,RU,80.55,73.51,279.48,80,100,8.37
141,yenagoa,NG,6.26,4.92,297.01,90,93,1.85
142,pevek,RU,170.31,69.7,278.37,84,59,3.47
143,aswan,EG,32.91,24.09,310.69,15,0,10.73
144,poum,NC,164.02,-20.23,295.54,77,50,6.43
145,bambous virieux,MU,57.76,-20.34,295.37,94,40,4.1
146,chunskiy,RU,99.63,56.08,283.29,96,100,2.48
147,abonnema,NG,6.79,4.71,300.15,83,40,2.6
148,yelizovo,RU,158.38,53.19,285.15,100,20,1.0
149,batagay-alyta,RU,130.41,67.8,276.91,82,83,0.79
150,aksu,CN,80.26,41.12,291.58,35,0,0.73
151,tasiilaq,GL,-37.64,65.61,276.15,86,70,1.5
152,tambacounda,SN,-13.76,13.75,300.15,78,20,1.0
153,lorengau,PG,147.27,-2.02,300.93,79,6,4.55
154,kodiak,US,-152.41,57.79,288.15,58,1,7.2
155,lakatoro,VU,167.42,-16.1,299.15,78,75,3.6
156,ogaminana,NG,6.22,7.59,296.62,86,15,1.05
157,garowe,SO,48.48,8.41,298.05,63,100,9.1
158,yar-sale,RU,70.83,66.83,283.94,57,100,5.42
159,barcelona,ES,2.16,41.39,291.15,93,40,6.2
160,ostrovnoy,RU,39.51,68.05,284.2,84,93,5.67
161,vostok,RU,135.88,46.49,287.11,98,100,2.47
162,torbay,CA,-52.73,47.67,291.48,52,20,5.1
163,lompoc,US,-120.46,34.64,308.71,45,1,4.1
164,codrington,AU,141.97,-38.27,291.35,35,100,6.42
165,general pico,AR,-63.76,-35.66,292.11,42,0,6.28
166,shibetsu,JP,145.13,43.66,293.04,95,100,0.9
167,bongandanga,CD,21.05,1.5,294.75,96,95,0.99
168,berbera,SO,45.01,10.44,305.06,59,0,3.2
169,san alberto,CO,-73.39,7.76,302.97,68,76,2.14
170,lagoa,PT,-27.98,39.05,294.39,78,0,9.52
171,ust-ilimsk,RU,102.66,58.0,282.44,92,100,1.84
172,myskhako,RU,37.74,44.67,293.15,88,40,1.0
173,hambantota,LK,81.12,6.12,300.13,80,95,6.96
174,lopatino,RU,45.81,52.62,289.47,40,100,2.53
175,dingle,PH,122.67,11.0,298.08,88,100,1.31
176,tuatapere,NZ,167.68,-46.13,280.37,72,15,4.92
177,marihatag,PH,126.3,8.79,299.06,82,8,1.81
178,pisco,PE,-76.22,-13.7,292.59,68,8,4.1
179,kirakira,SB,161.92,-10.45,299.15,81,2,2.88
180,manta,EC,-80.73,-0.95,297.15,78,75,5.1
181,port-gentil,GA,8.78,-0.72,298.15,83,40,5.19
182,bavly,RU,53.26,54.39,285.74,63,6,1.38
183,vallenar,CL,-70.76,-28.57,298.49,21,0,2.53
184,nabire,ID,135.48,-3.37,297.4,88,100,1.52
185,khatanga,RU,102.5,71.97,278.32,76,0,3.63
186,sangar,RU,127.47,63.92,278.28,85,30,1.0
187,monchegorsk,RU,32.87,67.94,280.25,89,0,1.01
188,isangel,VU,169.27,-19.55,295.15,88,90,4.56
189,balkanabat,TM,54.37,39.51,298.35,15,84,9.59
190,napasar,IN,73.55,27.97,306.75,34,0,3.24
191,sisimiut,GL,-53.67,66.94,278.31,69,80,3.01
192,kruisfontein,ZA,24.73,-34.0,289.26,86,4,0.89
193,ossora,RU,163.07,59.24,283.14,93,100,8.54
194,amapa,BR,-52.0,1.0,307.35,36,82,1.83
195,seguin,US,-97.96,29.57,308.15,39,40,4.1
196,pangnirtung,CA,-65.71,66.15,280.15,60,20,5.1
197,goderich,CA,-81.72,43.75,292.04,70,94,4.94
198,alta floresta,BR,-56.09,-9.88,311.15,19,49,4.6
199,plettenberg bay,ZA,23.37,-34.05,288.85,85,0,2.55
200,liverpool,GB,-2.98,53.41,291.15,82,75,3.1
201,liepaja,LV,21.04,56.54,283.15,100,0,1.0
202,kaitangata,NZ,169.85,-46.28,280.37,87,1,0.89
203,thinadhoo,MV,72.93,0.53,301.46,77,99,6.06
204,shirokiy,RU,129.52,49.76,288.6,89,100,5.16
205,matara,LK,80.54,5.95,298.89,90,100,4.01
206,gat,IL,34.76,31.61,301.48,85,0,1.01
207,hithadhoo,MV,73.08,-0.6,301.31,77,97,6.0
208,santa isabel do rio negro,BR,-65.02,-0.41,306.23,45,84,1.0
209,hervey bay,AU,152.85,-25.3,290.93,95,13,4.02
210,banjar,ID,114.97,-8.19,299.15,100,20,3.6
211,cherskiy,RU,161.3,68.75,277.2,79,18,5.3
212,turukhansk,RU,87.98,65.82,282.4,70,100,1.88
213,miraflores,MX,-98.81,19.22,296.15,43,75,2.1
214,yulara,AU,130.99,-25.24,288.15,28,0,3.11
215,cap malheureux,MU,57.61,-19.98,295.37,86,53,2.24
216,karaton,ID,106.1,-6.34,300.93,83,40,0.44
217,talnakh,RU,88.4,69.49,281.15,93,10,5.0
218,iwanai,JP,140.51,42.97,295.61,81,2,2.45
219,piterka,RU,47.45,50.68,290.66,30,22,3.51
220,saint anthony,US,-93.22,45.02,287.15,71,90,3.1
221,tiksi,RU,128.87,71.69,278.52,79,100,4.67
222,galdar,ES,-15.65,28.15,304.15,22,97,8.7
223,los llanos de aridane,ES,-17.92,28.66,297.15,83,20,4.6
224,nuuk,GL,-51.72,64.18,279.15,75,75,3.6
225,ketchikan,US,-131.65,55.34,290.15,82,20,5.1
226,flinders,AU,150.86,-34.58,289.26,85,3,0.45
227,mana,GF,-53.78,5.66,301.18,84,77,3.81
228,bowen,AU,148.23,-20.02,292.15,82,90,4.1
229,hasaki,JP,140.83,35.73,299.26,94,40,4.1
230,manakara,MG,48.02,-22.13,291.53,91,21,1.37
231,mehamn,NO,27.85,71.04,281.15,93,75,2.1
232,sumbe,AO,13.84,-11.21,295.87,80,0,2.43
233,shache,CN,77.24,38.42,290.41,40,0,1.36
234,barranca,PE,-77.77,-10.75,291.14,70,9,4.25
235,paine,CL,-70.75,-33.82,295.15,45,75,4.6
236,george,ZA,22.46,-33.96,286.15,100,0,2.1
237,chumikan,RU,135.31,54.72,284.46,85,77,1.66
238,westport,US,-73.36,41.14,299.26,54,1,3.6
239,taoudenni,ML,-3.98,22.68,313.51,13,94,4.31
240,nantucket,US,-70.1,41.28,296.15,69,1,4.6
241,tessalit,ML,1.01,20.2,309.35,14,10,0.41
242,bemidji,US,-94.88,47.47,285.37,57,40,5.1
243,vanderhoof,CA,-124.02,54.02,291.25,37,0,0.21
244,san angelo,US,-100.44,31.46,308.71,30,40,6.2
245,port macquarie,AU,152.92,-31.43,284.82,90,8,2.24
246,bose,IT,8.01,45.46,290.93,87,100,2.68
247,ruteng,ID,120.47,-8.61,288.67,88,100,0.44
248,komsomolskiy,UZ,71.72,40.43,290.15,45,22,2.1
249,college,US,-147.8,64.86,289.15,63,75,2.1
250,kaeo,NZ,173.78,-35.1,282.59,3,19,1.34
251,urumqi,CN,87.6,43.8,288.15,67,100,4.0
252,lebu,CL,-73.65,-37.62,285.13,72,21,3.88
253,chimbote,PE,-78.58,-9.09,291.91,69,9,4.68
254,esperance,AU,121.9,-33.87,280.15,100,40,4.1
255,kviteseid,NO,8.49,59.4,281.48,86,96,3.13
256,vestmannaeyjar,IS,-20.27,63.44,283.33,76,96,7.45
257,meulaboh,ID,96.13,4.14,298.74,86,100,1.62
258,nancha,CN,129.27,47.13,290.43,93,100,5.17
259,junqueiropolis,BR,-51.43,-21.51,308.02,14,100,1.82
260,quepos,CR,-84.17,9.42,296.15,88,75,3.6
261,manchester,GB,-2.24,53.48,289.26,93,90,1.5
262,manaus,BR,-60.02,-3.1,306.15,52,40,2.1
263,byron bay,AU,153.62,-28.65,287.15,87,90,1.5
264,campo grande,BR,-54.65,-20.44,308.15,16,24,3.6
265,provideniya,RU,-173.3,64.38,281.15,65,100,6.0
266,amahai,ID,128.92,-3.33,297.57,86,99,0.93
267,cananea,MX,-110.3,30.95,307.59,31,0,2.68
268,manicore,BR,-61.3,-5.81,313.19,15,52,1.17
269,gamba,GA,10.0,-2.65,296.74,83,40,2.92
270,pineville,US,-92.43,31.32,307.15,36,1,1.5
271,pingliang,CN,106.69,35.54,289.33,59,4,0.46
